Index,Brix
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,10.3
1,10.3
1,10.3
1,10.3
1,10.3
2,12.5
2,12.5
2,12.5
2,12.5
2,12.5
3,14.6
3,14.6
3,14.6
3,14.6
3,14.6
4,16.7
4,16.7
4,16.7
4,16.7
4,16.7
5,18.6
5,18.6
5,18.6
5,18.6
5,18.6
6,20.5
6,20.5
6,20.5
6,20.5
6,20.5
7,22.2
7,22.2
7,22.2
7,22.2
7,22.2
8,23.9
8,23.9
8,23.9
8,23.9
8,23.9
9,25.5
9,25.5
9,25.5
9,25.5
9,25.5
