Index,Brix
1,9.0
2,10.0
3,10.6
4,10.6
5,11.6
6,12.0
7,12.1
8,12.5
9,13.3
10,13.6
11,13.7
12,13.8
13,15.2
14,15.2
15,15.3
16,15.9
17,16.4
18,16.7
19,17.0
20,17.6
21,17.6
22,19.2
23,21.6
24,23.5
25,23.9
